trader,horizon,days,pos_days,neg_days,neg_ratio,mean_day_edge
Mark 01,100,3,3,0,0.0,0.04861236712676503
Mark 01,300,3,2,1,0.3333333333333333,0.03216704567489907
Mark 01,500,3,1,2,0.6666666666666666,0.02787230948225713
Mark 01,1000,3,2,1,0.3333333333333333,0.07125059495478343
Mark 14,100,3,1,2,0.6666666666666666,0.021878268367750132
Mark 14,300,3,1,2,0.6666666666666666,0.014401245619698766
Mark 14,500,3,1,2,0.6666666666666666,-0.03611634803126166
Mark 14,1000,3,2,1,0.3333333333333333,-0.017358716838291727
Mark 22,100,3,0,3,1.0,-0.1527952266920463
Mark 22,300,3,0,3,1.0,-0.13228974000476348
Mark 22,500,3,0,3,1.0,-0.11978599208943298
Mark 22,1000,3,0,3,1.0,-0.1295170186794544
Mark 38,100,3,2,1,0.3333333333333333,-0.020601678437418083
Mark 38,300,3,1,2,0.6666666666666666,-0.02450309292396925
Mark 38,500,3,2,1,0.3333333333333333,0.016814448191324115
Mark 38,1000,3,1,2,0.6666666666666666,-0.02168896155940575
Mark 49,100,3,0,3,1.0,-1.816028125621149
Mark 49,300,3,0,3,1.0,-1.846581196581197
Mark 49,500,3,0,3,1.0,-1.8266398330351816
Mark 49,1000,3,0,3,1.0,-2.132801629894653
Mark 55,100,3,2,1,0.3333333333333333,0.019950836651412052
Mark 55,300,3,1,2,0.6666666666666666,0.03638811659914792
Mark 55,500,3,2,1,0.3333333333333333,0.06940522464072175
Mark 55,1000,3,1,2,0.6666666666666666,0.022829030962529608
Mark 67,100,3,3,0,0.0,1.9796638565962918
Mark 67,300,3,3,0,0.0,1.9823018818459623
Mark 67,500,3,3,0,0.0,1.9442696684444662
Mark 67,1000,3,3,0,0.0,2.254819311655648
