horizon,trader,day,n_events,mean_edge,hit_rate
100,Mark 01,1,550,0.1009090909090909,0.17454545454545456
100,Mark 01,2,573,0.02617801047120419,0.16055846422338568
100,Mark 01,3,720,0.01875,0.12222222222222222
100,Mark 14,1,764,0.17473821989528796,0.40575916230366493
100,Mark 14,2,668,-0.09356287425149701,0.3473053892215569
100,Mark 14,3,740,-0.015540540540540541,0.37567567567567567
100,Mark 22,1,474,-0.1962025316455696,0.09915611814345991
100,Mark 22,2,471,-0.16985138004246284,0.09129511677282377
100,Mark 22,3,639,-0.09233176838810642,0.081377151799687
100,Mark 38,1,544,-0.18290441176470587,0.35294117647058826
100,Mark 38,2,439,0.06150341685649203,0.4145785876993166
100,Mark 38,3,495,0.0595959595959596,0.402020202020202
100,Mark 49,1,40,-1.6875,0.025
100,Mark 49,2,43,-1.7093023255813953,0.023255813953488372
100,Mark 49,3,39,-2.051282051282051,0.05128205128205128
100,Mark 55,1,384,-0.11588541666666667,0.3255208333333333
100,Mark 55,2,411,0.14720194647201945,0.4282238442822384
100,Mark 55,3,403,0.028535980148883373,0.40198511166253104
100,Mark 67,1,58,1.9913793103448276,0.9827586206896551
100,Mark 67,2,61,1.860655737704918,0.9344262295081968
100,Mark 67,3,46,2.0869565217391304,0.9565217391304348
300,Mark 01,1,550,0.09181818181818181,0.18545454545454546
300,Mark 01,2,573,-0.0008726003490401396,0.18673647469458987
300,Mark 01,3,720,0.005555555555555556,0.14027777777777778
300,Mark 14,1,764,0.1642670157068063,0.45287958115183247
300,Mark 14,2,668,-0.03592814371257485,0.4026946107784431
300,Mark 14,3,740,-0.08513513513513514,0.3932432432432432
300,Mark 22,1,474,-0.15084388185654007,0.1160337552742616
300,Mark 22,2,471,-0.18577494692144372,0.12951167728237792
300,Mark 22,3,639,-0.06025039123630673,0.1189358372456964
300,Mark 38,1,544,-0.19852941176470587,0.4099264705882353
300,Mark 38,2,439,-0.04669703872437358,0.42369020501138954
300,Mark 38,3,495,0.1717171717171717,0.4808080808080808
300,Mark 49,1,40,-1.45,0.175
300,Mark 49,2,43,-2.0,0.046511627906976744
300,Mark 49,3,39,-2.08974358974359,0.10256410256410256
300,Mark 55,1,384,-0.11458333333333333,0.3854166666666667
300,Mark 55,2,411,0.22871046228710462,0.45742092457420924
300,Mark 55,3,403,-0.004962779156327543,0.4218362282878412
300,Mark 67,1,58,1.8189655172413792,0.896551724137931
300,Mark 67,2,61,2.040983606557377,0.9016393442622951
300,Mark 67,3,46,2.0869565217391304,0.9130434782608695
500,Mark 01,1,550,0.1,0.20727272727272728
500,Mark 01,2,573,-0.012216404886561954,0.19720767888307156
500,Mark 01,3,720,-0.004166666666666667,0.1638888888888889
500,Mark 14,1,764,0.15837696335078533,0.44502617801047123
500,Mark 14,2,668,-0.13023952095808383,0.39221556886227543
500,Mark 14,3,740,-0.13648648648648648,0.40405405405405403
500,Mark 22,1,474,-0.16139240506329114,0.12658227848101267
500,Mark 22,2,471,-0.16666666666666666,0.1316348195329087
500,Mark 22,3,639,-0.03129890453834116,0.14241001564945227
500,Mark 38,1,544,-0.2104779411764706,0.4540441176470588
500,Mark 38,2,439,0.08314350797266515,0.47380410022779046
500,Mark 38,3,495,0.17777777777777778,0.4707070707070707
500,Mark 49,1,40,-1.725,0.125
500,Mark 49,2,43,-1.6395348837209303,0.16279069767441862
500,Mark 49,3,39,-2.1153846153846154,0.1282051282051282
500,Mark 55,1,384,-0.11328125,0.4166666666666667
500,Mark 55,2,411,0.24209245742092458,0.45498783454987834
500,Mark 55,3,403,0.0794044665012407,0.45161290322580644
500,Mark 67,1,58,2.1982758620689653,0.896551724137931
500,Mark 67,2,61,1.7540983606557377,0.8524590163934426
500,Mark 67,3,46,1.8804347826086956,0.717391304347826
1000,Mark 01,1,550,0.20727272727272728,0.2109090909090909
1000,Mark 01,2,573,-0.02268760907504363,0.2094240837696335
1000,Mark 01,3,720,0.029166666666666667,0.2
1000,Mark 14,1,764,0.10143979057591623,0.46596858638743455
1000,Mark 14,2,668,-0.2791916167664671,0.3937125748502994
1000,Mark 14,3,740,0.12567567567567567,0.45
1000,Mark 22,1,474,-0.1751054852320675,0.14767932489451477
1000,Mark 22,2,471,-0.17197452229299362,0.15286624203821655
1000,Mark 22,3,639,-0.041471048513302036,0.16118935837245696
1000,Mark 38,1,544,-0.234375,0.44669117647058826
1000,Mark 38,2,439,0.2733485193621868,0.5056947608200456
1000,Mark 38,3,495,-0.10404040404040404,0.46060606060606063
1000,Mark 49,1,40,-2.125,0.2
1000,Mark 49,2,43,-1.7093023255813953,0.18604651162790697
1000,Mark 49,3,39,-2.5641025641025643,0.15384615384615385
1000,Mark 55,1,384,-0.11067708333333333,0.4739583333333333
1000,Mark 55,2,411,0.2871046228710462,0.49878345498783455
1000,Mark 55,3,403,-0.10794044665012408,0.45161290322580644
1000,Mark 67,1,58,2.5258620689655173,0.7758620689655172
1000,Mark 67,2,61,1.901639344262295,0.7868852459016393
1000,Mark 67,3,46,2.3369565217391304,0.6956521739130435
